# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	53	1417	+					dnaA		PMOB_RS00005	1365		old_locus_tag=Pmob_0001
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	53	1417	+	WP_012207857.1	WP_012207857.1		chromosomal replication initiator protein DnaA	dnaA		PMOB_RS00005	1365	454	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	1526	2323	-							PMOB_RS00010	798		old_locus_tag=Pmob_0002
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	1526	2323	-	WP_012207858.1	WP_012207858.1		bacteriocin family protein			PMOB_RS00010	798	265	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	2355	2717	-							PMOB_RS00015	363		old_locus_tag=Pmob_0003
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	2355	2717	-	WP_012207859.1	WP_012207859.1		ferritin-like domain-containing protein			PMOB_RS00015	363	120	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	2768	2992	-							PMOB_RS00020	225		old_locus_tag=Pmob_0004
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	2768	2992	-	WP_041533977.1	WP_041533977.1		PIN domain-containing protein			PMOB_RS00020	225	74	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	2992	3204	-							PMOB_RS00025	213		old_locus_tag=Pmob_0005
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	2992	3204	-	WP_012207861.1	WP_012207861.1		DUF2281 domain-containing protein			PMOB_RS00025	213	70	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	3402	4115	+							PMOB_RS00030	714		old_locus_tag=Pmob_0006
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	3402	4115	+	WP_012207862.1	WP_012207862.1		hypothetical protein			PMOB_RS00030	714	237	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	4112	5416	-							PMOB_RS00035	1305		old_locus_tag=Pmob_0007
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	4112	5416	-	WP_231282502.1	WP_231282502.1		ABC transporter permease subunit			PMOB_RS00035	1305	434	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	5343	5495	+							PMOB_RS10875	153		
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	5343	5495	+	WP_231282503.1	WP_231282503.1		hypothetical protein			PMOB_RS10875	153	50	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	5655	6632	-							PMOB_RS00040	978		old_locus_tag=Pmob_0008
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	5655	6632	-	WP_012207864.1	WP_012207864.1		thiamine ABC transporter substrate-binding protein			PMOB_RS00040	978	325	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	6976	7725	+					deoC		PMOB_RS00045	750		old_locus_tag=Pmob_0009
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	6976	7725	+	WP_012207865.1	WP_012207865.1		deoxyribose-phosphate aldolase	deoC		PMOB_RS00045	750	249	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	7792	7989	-							PMOB_RS00050	198		old_locus_tag=Pmob_0010
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	7792	7989	-	WP_012207866.1	WP_012207866.1		cold-shock protein			PMOB_RS00050	198	65	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	8317	8874	+					efp		PMOB_RS00055	558		old_locus_tag=Pmob_0011
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	8317	8874	+	WP_012207867.1	WP_012207867.1		elongation factor P	efp		PMOB_RS00055	558	185	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	8919	10352	-							PMOB_RS00060	1434		old_locus_tag=Pmob_0012
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	8919	10352	-	WP_012207868.1	WP_012207868.1		MATE family efflux transporter			PMOB_RS00060	1434	477	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	10353	10817	-							PMOB_RS00065	465		old_locus_tag=Pmob_0013
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	10353	10817	-	WP_012207869.1	WP_012207869.1		MarR family transcriptional regulator			PMOB_RS00065	465	154	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	11017	12378	-							PMOB_RS00070	1362		old_locus_tag=Pmob_0014
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	11017	12378	-	WP_012207870.1	WP_012207870.1		MATE family efflux transporter			PMOB_RS00070	1362	453	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	12618	13055	+							PMOB_RS00075	438		old_locus_tag=Pmob_0015
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	12618	13055	+	WP_012207871.1	WP_012207871.1		MarR family transcriptional regulator			PMOB_RS00075	438	145	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	13058	14719	+							PMOB_RS00080	1662		old_locus_tag=Pmob_0016
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	13058	14719	+	WP_012207872.1	WP_012207872.1		PEGA domain-containing protein			PMOB_RS00080	1662	553	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	14722	16782	+							PMOB_RS00085	2061		old_locus_tag=Pmob_0017
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	14722	16782	+	WP_012207873.1	WP_012207873.1		hypothetical protein			PMOB_RS00085	2061	686	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	16798	17598	+							PMOB_RS00090	801		old_locus_tag=Pmob_0018
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	16798	17598	+	WP_012207874.1	WP_012207874.1		patatin-like phospholipase family protein			PMOB_RS00090	801	266	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	17595	18368	+							PMOB_RS00095	774		old_locus_tag=Pmob_0019
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	17595	18368	+	WP_012207875.1	WP_012207875.1		patatin-like phospholipase family protein			PMOB_RS00095	774	257	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	18365	18991	+							PMOB_RS00100	627		old_locus_tag=Pmob_0020
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	18365	18991	+	WP_012207876.1	WP_012207876.1		OstA family protein			PMOB_RS00100	627	208	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	18994	19509	+							PMOB_RS00105	516		old_locus_tag=Pmob_0021
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	18994	19509	+	WP_012207877.1	WP_012207877.1		hypothetical protein			PMOB_RS00105	516	171	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	19466	19963	+							PMOB_RS00110	498		old_locus_tag=Pmob_0022
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	19466	19963	+	WP_041533978.1	WP_041533978.1		type II secretion system GspH family protein			PMOB_RS00110	498	165	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	19998	21266	+							PMOB_RS00115	1269		old_locus_tag=Pmob_0023
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	19998	21266	+	WP_012207879.1	WP_012207879.1		HEAT repeat domain-containing protein			PMOB_RS00115	1269	422	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	21274	21894	+							PMOB_RS00120	621		old_locus_tag=Pmob_0024
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	21274	21894	+	WP_012207880.1	WP_012207880.1		ComF family protein			PMOB_RS00120	621	206	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	21864	22787	-							PMOB_RS00125	924		old_locus_tag=Pmob_0025
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	21864	22787	-	WP_012207881.1	WP_012207881.1		sugar kinase			PMOB_RS00125	924	307	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	22873	23355	-							PMOB_RS00130	483		old_locus_tag=Pmob_0026
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	22873	23355	-	WP_231282484.1	WP_231282484.1		dihydrofolate reductase family protein			PMOB_RS00130	483	160	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	23726	24967	+							PMOB_RS00135	1242		old_locus_tag=Pmob_0027
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	23726	24967	+	WP_012207883.1	WP_012207883.1		ABC transporter substrate-binding protein			PMOB_RS00135	1242	413	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	25072	25974	+							PMOB_RS00140	903		old_locus_tag=Pmob_0028
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	25072	25974	+	WP_012207884.1	WP_012207884.1		sugar ABC transporter permease			PMOB_RS00140	903	300	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	25988	26839	+							PMOB_RS00145	852		old_locus_tag=Pmob_0029
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	25988	26839	+	WP_012207885.1	WP_012207885.1		carbohydrate ABC transporter permease			PMOB_RS00145	852	283	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	26845	28167	+					glmM		PMOB_RS00150	1323		old_locus_tag=Pmob_0030
