# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002924615.1	Primary Assembly	unplaced scaffold		NZ_JALY01000099.1	129	692	+					frr		AA81_RS04310	564		old_locus_tag=AA81_04250
CDS	with_protein	GCF_002924615.1	Primary Assembly	unplaced scaffold		NZ_JALY01000099.1	129	692	+	WP_103898312.1	WP_103898312.1		ribosome recycling factor	frr		AA81_RS04310	564	187	
gene	protein_coding	GCF_002924615.1	Primary Assembly	unplaced scaffold		NZ_JALY01000099.1	695	1426	+					uppS		AA81_RS04315	732		old_locus_tag=AA81_04255
CDS	with_protein	GCF_002924615.1	Primary Assembly	unplaced scaffold		NZ_JALY01000099.1	695	1426	+	WP_103898313.1	WP_103898313.1		polyprenyl diphosphate synthase	uppS		AA81_RS04315	732	243	
gene	protein_coding	GCF_002924615.1	Primary Assembly	unplaced scaffold		NZ_JALY01000099.1	1632	2477	+							AA81_RS04320	846		old_locus_tag=AA81_04260
CDS	with_protein	GCF_002924615.1	Primary Assembly	unplaced scaffold		NZ_JALY01000099.1	1632	2477	+	WP_103898314.1	WP_103898314.1		phosphatidate cytidylyltransferase			AA81_RS04320	846	281	
gene	protein_coding	GCF_002924615.1	Primary Assembly	unplaced scaffold		NZ_JALY01000099.1	2487	2882	+							AA81_RS04325	396		old_locus_tag=AA81_04265
CDS	with_protein	GCF_002924615.1	Primary Assembly	unplaced scaffold		NZ_JALY01000099.1	2487	2882	+	WP_103898315.1	WP_103898315.1		prepilin-type N-terminal cleavage/methylation domain-containing protein			AA81_RS04325	396	131	
gene	protein_coding	GCF_002924615.1	Primary Assembly	unplaced scaffold		NZ_JALY01000099.1	2999	5629	+					alaS		AA81_RS04330	2631		old_locus_tag=AA81_04270
CDS	with_protein	GCF_002924615.1	Primary Assembly	unplaced scaffold		NZ_JALY01000099.1	2999	5629	+	WP_103898316.1	WP_103898316.1		alanine--tRNA ligase	alaS		AA81_RS04330	2631	876	
gene	protein_coding	GCF_002924615.1	Primary Assembly	unplaced scaffold		NZ_JALY01000099.1	5632	6435	+							AA81_RS04335	804		old_locus_tag=AA81_04275
CDS	with_protein	GCF_002924615.1	Primary Assembly	unplaced scaffold		NZ_JALY01000099.1	5632	6435	+	WP_169999609.1	WP_169999609.1		patatin-like phospholipase family protein			AA81_RS04335	804	267	
