# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	114	1478	+					dnaA		MARPI_RS00010	1365		old_locus_tag=Marpi_0001
CDS	with_protein	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	114	1478	+	WP_014295533.1	WP_014295533.1		chromosomal replication initiator protein DnaA	dnaA		MARPI_RS00010	1365	454	
gene	protein_coding	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	1513	2013	-					msrA		MARPI_RS00015	501		old_locus_tag=Marpi_0002
CDS	with_protein	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	1513	2013	-	WP_014295534.1	WP_014295534.1		peptide-methionine (S)-S-oxide reductase MsrA	msrA		MARPI_RS00015	501	166	
gene	protein_coding	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	2144	2875	+							MARPI_RS00020	732		old_locus_tag=Marpi_0003
CDS	with_protein	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	2144	2875	+	WP_014295535.1	WP_014295535.1		SagB/ThcOx family dehydrogenase			MARPI_RS00020	732	243	
gene	protein_coding	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	2901	3158	-							MARPI_RS00025	258		old_locus_tag=Marpi_0004
CDS	with_protein	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	2901	3158	-	WP_014295536.1	WP_014295536.1		hypothetical protein			MARPI_RS00025	258	85	
gene	protein_coding	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	3145	3846	-							MARPI_RS00030	702		old_locus_tag=Marpi_0005
CDS	with_protein	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	3145	3846	-	WP_041638394.1	WP_041638394.1		endonuclease V			MARPI_RS00030	702	233	
gene	protein_coding	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	3848	4318	-					ispF		MARPI_RS00035	471		old_locus_tag=Marpi_0006
CDS	with_protein	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	3848	4318	-	WP_014295538.1	WP_014295538.1		2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	ispF		MARPI_RS00035	471	156	
gene	protein_coding	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	4318	5586	-					dnaN		MARPI_RS00040	1269		old_locus_tag=Marpi_0007
CDS	with_protein	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	4318	5586	-	WP_014295539.1	WP_014295539.1		DNA polymerase III subunit beta	dnaN		MARPI_RS00040	1269	422	
gene	protein_coding	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	5714	6577	+							MARPI_RS00045	864		old_locus_tag=Marpi_0008
CDS	with_protein	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	5714	6577	+	WP_014295540.1	WP_014295540.1		glycerophosphoryl diester phosphodiesterase			MARPI_RS00045	864	287	
gene	protein_coding	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	6624	6929	+							MARPI_RS00050	306		old_locus_tag=Marpi_0009
CDS	with_protein	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	6624	6929	+	WP_014295541.1	WP_014295541.1		rubrerythrin			MARPI_RS00050	306	101	
gene	protein_coding	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	7022	7468	+							MARPI_RS00055	447		old_locus_tag=Marpi_0010
CDS	with_protein	GCF_000255135.1	Primary Assembly	chromosome		NC_016751.1	7022	7468	+	WP_014295542.1	WP_014295542.1		LPP20 family lipoprotein			MARPI_RS00055	447	148	
