# Assembly name:  IMG-taxon 2585428042 annotated assembly
# Organism name:  Marinitoga hydrogenitolerans DSM 16785 (bacteria)
# Infraspecific name:  strain=DSM 16785
# Taxid:          1122195
# BioSample:      SAMN02745164
# BioProject:     PRJEB18165
# Submitter:      DOE - JOINT GENOME INSTITUTE
# Date:           2016-12-03
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    FQUI01
# Genome coverage: 602x
# Relation to type material: assembly from type material
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_900129175.1
# RefSeq assembly accession: GCF_900129175.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_900129174.1	GCF_900129174.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
contig86	unplaced-scaffold	na	na	FQUI01000086.1	=	NZ_FQUI01000086.1	Primary Assembly	1138	na
contig80	unplaced-scaffold	na	na	FQUI01000080.1	=	NZ_FQUI01000080.1	Primary Assembly	1877	na
contig78	unplaced-scaffold	na	na	FQUI01000078.1	=	NZ_FQUI01000078.1	Primary Assembly	2280	na
contig76	unplaced-scaffold	na	na	FQUI01000076.1	=	NZ_FQUI01000076.1	Primary Assembly	3105	na
contig73	unplaced-scaffold	na	na	FQUI01000073.1	=	NZ_FQUI01000073.1	Primary Assembly	3539	na
contig72	unplaced-scaffold	na	na	FQUI01000072.1	=	NZ_FQUI01000072.1	Primary Assembly	3877	na
contig71	unplaced-scaffold	na	na	FQUI01000071.1	=	NZ_FQUI01000071.1	Primary Assembly	5170	na
contig68	unplaced-scaffold	na	na	FQUI01000068.1	=	NZ_FQUI01000068.1	Primary Assembly	5410	na
contig66	unplaced-scaffold	na	na	FQUI01000066.1	=	NZ_FQUI01000066.1	Primary Assembly	5911	na
contig65	unplaced-scaffold	na	na	FQUI01000065.1	=	NZ_FQUI01000065.1	Primary Assembly	6395	na
contig74	unplaced-scaffold	na	na	FQUI01000074.1	=	NZ_FQUI01000074.1	Primary Assembly	3444	na
contig64	unplaced-scaffold	na	na	FQUI01000064.1	=	NZ_FQUI01000064.1	Primary Assembly	6695	na
contig62	unplaced-scaffold	na	na	FQUI01000062.1	=	NZ_FQUI01000062.1	Primary Assembly	6890	na
contig84	unplaced-scaffold	na	na	FQUI01000084.1	=	NZ_FQUI01000084.1	Primary Assembly	1212	na
contig61	unplaced-scaffold	na	na	FQUI01000061.1	=	NZ_FQUI01000061.1	Primary Assembly	7168	na
contig59	unplaced-scaffold	na	na	FQUI01000059.1	=	NZ_FQUI01000059.1	Primary Assembly	7861	na
contig57	unplaced-scaffold	na	na	FQUI01000057.1	=	NZ_FQUI01000057.1	Primary Assembly	10369	na
contig56	unplaced-scaffold	na	na	FQUI01000056.1	=	NZ_FQUI01000056.1	Primary Assembly	10585	na
contig55	unplaced-scaffold	na	na	FQUI01000055.1	=	NZ_FQUI01000055.1	Primary Assembly	13178	na
contig79	unplaced-scaffold	na	na	FQUI01000079.1	=	NZ_FQUI01000079.1	Primary Assembly	1906	na
contig54	unplaced-scaffold	na	na	FQUI01000054.1	=	NZ_FQUI01000054.1	Primary Assembly	13193	na
contig53	unplaced-scaffold	na	na	FQUI01000053.1	=	NZ_FQUI01000053.1	Primary Assembly	13998	na
contig50	unplaced-scaffold	na	na	FQUI01000050.1	=	NZ_FQUI01000050.1	Primary Assembly	15145	na
contig49	unplaced-scaffold	na	na	FQUI01000049.1	=	NZ_FQUI01000049.1	Primary Assembly	15168	na
contig47	unplaced-scaffold	na	na	FQUI01000047.1	=	NZ_FQUI01000047.1	Primary Assembly	15388	na
contig20	unplaced-scaffold	na	na	FQUI01000020.1	=	NZ_FQUI01000020.1	Primary Assembly	37034	na
contig85	unplaced-scaffold	na	na	FQUI01000085.1	=	NZ_FQUI01000085.1	Primary Assembly	1163	na
contig75	unplaced-scaffold	na	na	FQUI01000075.1	=	NZ_FQUI01000075.1	Primary Assembly	3145	na
contig48	unplaced-scaffold	na	na	FQUI01000048.1	=	NZ_FQUI01000048.1	Primary Assembly	15427	na
