# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000001.1	186	911	-							X928_RS00010	726		old_locus_tag=X928_00010
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000001.1	186	911	-	WP_012209353.1	WP_012209353.1		GntR family transcriptional regulator			X928_RS00010	726	241	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000001.1	1073	1411	+							X928_RS00015	339		old_locus_tag=X928_00015
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000001.1	1073	1411	+	WP_012209354.1	WP_012209354.1		phenylpyruvate tautomerase MIF-related protein			X928_RS00015	339	112	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000001.1	1487	2179	+							X928_RS00020	693		old_locus_tag=X928_00020
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000001.1	1487	2179	+	WP_012209355.1	WP_012209355.1		hypothetical protein			X928_RS00020	693	230	
gene	tRNA	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000001.1	2240	2314	-							X928_RS00025	75		old_locus_tag=X928_00025
tRNA		GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000001.1	2240	2314	-				tRNA-Val			X928_RS00025	75		anticodon=GAC
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000001.1	2450	3704	-							X928_RS00030	1255		partial;old_locus_tag=X928_00030
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000001.1	2450	3704	-	WP_245857129.1	WP_245857129.1		ISL3 family transposase			X928_RS00030	1255	417	partial
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	33	1961	-							X928_RS00035	1929		old_locus_tag=X928_00035
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	33	1961	-	WP_103077947.1	WP_103077947.1		hypothetical protein			X928_RS00035	1929	642	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	2651	4543	-							X928_RS00040	1893		old_locus_tag=X928_00040
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	2651	4543	-	WP_103077948.1	WP_103077948.1		5'-nucleotidase C-terminal domain-containing protein			X928_RS00040	1893	630	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	4679	6184	-							X928_RS00045	1506		old_locus_tag=X928_00045
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	4679	6184	-	WP_103077949.1	WP_103077949.1		5'-nucleotidase C-terminal domain-containing protein			X928_RS00045	1506	501	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	6342	7124	+							X928_RS00050	783		old_locus_tag=X928_00050
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	6342	7124	+	WP_103077950.1	WP_103077950.1		transposase			X928_RS00050	783	260	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	7584	8597	+							X928_RS00055	1014		old_locus_tag=X928_00055
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	7584	8597	+	WP_103077854.1	WP_103077854.1		hypothetical protein			X928_RS00055	1014	337	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	8578	9603	-							X928_RS00060	1026		old_locus_tag=X928_00060
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	8578	9603	-	WP_103077951.1	WP_103077951.1		polysaccharide pyruvyl transferase family protein			X928_RS00060	1026	341	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	9794	10195	+					flgB		X928_RS00065	402		old_locus_tag=X928_00065
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	9794	10195	+	WP_103077856.1	WP_103077856.1		flagellar basal body rod protein FlgB	flgB		X928_RS00065	402	133	
