# Assembly name:  ASM289560v1
# Organism name:  Petrotoga miotherma DSM 10691 (bacteria)
# Infraspecific name:  strain=DSM 10691
# Taxid:          1434326
# BioSample:      SAMN07817522
# BioProject:     PRJNA230893
# Submitter:      University of Alberta
# Date:           2018-01-23
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    AZRM01
# Assembly method: CLC NGS Cell v. 6.6
# Expected final version: no
# Genome coverage: 200.0x
# Sequencing technology: Illumina MiSeq
# Relation to type material: assembly from type material
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002895605.1
# RefSeq assembly accession: GCF_002895605.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002895625.1	GCF_002895625.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
P._miotherma_contig_1	unplaced-scaffold	na	na	AZRM01000001.1	=	NZ_AZRM01000001.1	Primary Assembly	3704	na
P._miotherma_contig_10	unplaced-scaffold	na	na	AZRM01000002.1	=	NZ_AZRM01000002.1	Primary Assembly	10634	na
P._miotherma_contig_11	unplaced-scaffold	na	na	AZRM01000003.1	=	NZ_AZRM01000003.1	Primary Assembly	49528	na
P._miotherma_contig_12	unplaced-scaffold	na	na	AZRM01000004.1	=	NZ_AZRM01000004.1	Primary Assembly	41430	na
P._miotherma_contig_13	unplaced-scaffold	na	na	AZRM01000005.1	=	NZ_AZRM01000005.1	Primary Assembly	68803	na
P._miotherma_contig_14	unplaced-scaffold	na	na	AZRM01000006.1	=	NZ_AZRM01000006.1	Primary Assembly	14689	na
P._miotherma_contig_15	unplaced-scaffold	na	na	AZRM01000007.1	=	NZ_AZRM01000007.1	Primary Assembly	79619	na
P._miotherma_contig_16	unplaced-scaffold	na	na	AZRM01000008.1	=	NZ_AZRM01000008.1	Primary Assembly	10874	na
P._miotherma_contig_17	unplaced-scaffold	na	na	AZRM01000009.1	=	NZ_AZRM01000009.1	Primary Assembly	108845	na
P._miotherma_contig_18	unplaced-scaffold	na	na	AZRM01000010.1	=	NZ_AZRM01000010.1	Primary Assembly	97395	na
P._miotherma_contig_19	unplaced-scaffold	na	na	AZRM01000011.1	=	NZ_AZRM01000011.1	Primary Assembly	67033	na
P._miotherma_contig_2	unplaced-scaffold	na	na	AZRM01000012.1	=	NZ_AZRM01000012.1	Primary Assembly	51910	na
P._miotherma_contig_20	unplaced-scaffold	na	na	AZRM01000013.1	=	NZ_AZRM01000013.1	Primary Assembly	11787	na
P._miotherma_contig_21	unplaced-scaffold	na	na	AZRM01000014.1	=	NZ_AZRM01000014.1	Primary Assembly	49316	na
P._miotherma_contig_22	unplaced-scaffold	na	na	AZRM01000015.1	=	NZ_AZRM01000015.1	Primary Assembly	51853	na
P._miotherma_contig_23	unplaced-scaffold	na	na	AZRM01000016.1	=	NZ_AZRM01000016.1	Primary Assembly	58878	na
P._miotherma_contig_24	unplaced-scaffold	na	na	AZRM01000017.1	=	NZ_AZRM01000017.1	Primary Assembly	56070	na
P._miotherma_contig_25	unplaced-scaffold	na	na	AZRM01000018.1	=	NZ_AZRM01000018.1	Primary Assembly	21746	na
