# Assembly name:  ASM292461v1
# Organism name:  Petrotoga halophila DSM 16923 (bacteria)
# Infraspecific name:  strain=DSM 16923
# Taxid:          1122953
# BioSample:      SAMN03351426
# BioProject:     PRJNA233614
# Submitter:      University of Alberta
# Date:           2018-02-08
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JALY01
# Assembly method: CLC NGS Cell v. 6
# Expected final version: no
# Genome coverage: 100.0x
# Sequencing technology: Illumina MiSeq
# Relation to type material: assembly from type material
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002924615.1
# RefSeq assembly accession: GCF_002924615.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002924655.1	GCF_002924655.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
P-halophila_contig_1	unplaced-scaffold	na	na	JALY01000099.1	=	NZ_JALY01000099.1	Primary Assembly	10524	na
P-halophila_contig_10	unplaced-scaffold	na	na	JALY01000158.1	=	NZ_JALY01000158.1	Primary Assembly	1907	na
P-halophila_contig_100	unplaced-scaffold	na	na	JALY01000096.1	=	NZ_JALY01000096.1	Primary Assembly	8997	na
P-halophila_contig_101	unplaced-scaffold	na	na	JALY01000115.1	=	NZ_JALY01000115.1	Primary Assembly	14755	na
P-halophila_contig_102	unplaced-scaffold	na	na	JALY01000071.1	=	NZ_JALY01000071.1	Primary Assembly	8025	na
P-halophila_contig_103	unplaced-scaffold	na	na	JALY01000231.1	=	NZ_JALY01000231.1	Primary Assembly	9897	na
P-halophila_contig_104	unplaced-scaffold	na	na	JALY01000033.1	=	NZ_JALY01000033.1	Primary Assembly	1735	na
P-halophila_contig_105	unplaced-scaffold	na	na	JALY01000175.1	=	NZ_JALY01000175.1	Primary Assembly	7454	na
P-halophila_contig_106	unplaced-scaffold	na	na	JALY01000174.1	=	NZ_JALY01000174.1	Primary Assembly	8410	na
P-halophila_contig_107	unplaced-scaffold	na	na	JALY01000161.1	=	NZ_JALY01000161.1	Primary Assembly	31964	na
P-halophila_contig_108	unplaced-scaffold	na	na	JALY01000034.1	=	NZ_JALY01000034.1	Primary Assembly	7308	na
P-halophila_contig_109	unplaced-scaffold	na	na	JALY01000296.1	=	NZ_JALY01000296.1	Primary Assembly	1274	na
P-halophila_contig_11	unplaced-scaffold	na	na	JALY01000237.1	=	NZ_JALY01000237.1	Primary Assembly	20109	na
P-halophila_contig_110	unplaced-scaffold	na	na	JALY01000027.1	=	NZ_JALY01000027.1	Primary Assembly	7318	na
P-halophila_contig_111	unplaced-scaffold	na	na	JALY01000261.1	=	NZ_JALY01000261.1	Primary Assembly	2325	na
P-halophila_contig_112	unplaced-scaffold	na	na	JALY01000215.1	=	NZ_JALY01000215.1	Primary Assembly	14386	na
P-halophila_contig_113	unplaced-scaffold	na	na	JALY01000208.1	=	NZ_JALY01000208.1	Primary Assembly	2540	na
P-halophila_contig_114	unplaced-scaffold	na	na	JALY01000032.1	=	NZ_JALY01000032.1	Primary Assembly	7508	na
P-halophila_contig_115	unplaced-scaffold	na	na	JALY01000055.1	=	NZ_JALY01000055.1	Primary Assembly	24737	na
P-halophila_contig_116	unplaced-scaffold	na	na	JALY01000068.1	=	NZ_JALY01000068.1	Primary Assembly	2296	na
P-halophila_contig_117	unplaced-scaffold	na	na	JALY01000066.1	=	NZ_JALY01000066.1	Primary Assembly	7145	na
P-halophila_contig_118	unplaced-scaffold	na	na	JALY01000150.1	=	NZ_JALY01000150.1	Primary Assembly	1002	na
P-halophila_contig_119	unplaced-scaffold	na	na	JALY01000168.1	=	NZ_JALY01000168.1	Primary Assembly	20457	na
P-halophila_contig_12	unplaced-scaffold	na	na	JALY01000269.1	=	NZ_JALY01000269.1	Primary Assembly	1635	na
P-halophila_contig_120	unplaced-scaffold	na	na	JALY01000089.1	=	NZ_JALY01000089.1	Primary Assembly	21961	na
P-halophila_contig_121	unplaced-scaffold	na	na	JALY01000169.1	=	NZ_JALY01000169.1	Primary Assembly	17708	na
P-halophila_contig_122	unplaced-scaffold	na	na	JALY01000025.1	=	NZ_JALY01000025.1	Primary Assembly	20925	na
P-halophila_contig_123	unplaced-scaffold	na	na	JALY01000097.1	=	NZ_JALY01000097.1	Primary Assembly	9684	na
P-halophila_contig_124	unplaced-scaffold	na	na	JALY01000035.1	=	NZ_JALY01000035.1	Primary Assembly	2096	na
P-halophila_contig_125	unplaced-scaffold	na	na	JALY01000205.1	=	NZ_JALY01000205.1	Primary Assembly	9803	na
P-halophila_contig_126	unplaced-scaffold	na	na	JALY01000276.1	=	NZ_JALY01000276.1	Primary Assembly	4338	na
P-halophila_contig_127	unplaced-scaffold	na	na	JALY01000022.1	=	NZ_JALY01000022.1	Primary Assembly	11686	na
P-halophila_contig_128	unplaced-scaffold	na	na	JALY01000104.1	=	NZ_JALY01000104.1	Primary Assembly	2664	na
P-halophila_contig_129	unplaced-scaffold	na	na	JALY01000192.1	=	NZ_JALY01000192.1	Primary Assembly	10150	na
P-halophila_contig_13	unplaced-scaffold	na	na	JALY01000134.1	=	NZ_JALY01000134.1	Primary Assembly	5544	na
P-halophila_contig_130	unplaced-scaffold	na	na	JALY01000082.1	=	NZ_JALY01000082.1	Primary Assembly	9864	na
P-halophila_contig_131	unplaced-scaffold	na	na	JALY01000003.1	=	NZ_JALY01000003.1	Primary Assembly	18580	na
P-halophila_contig_132	unplaced-scaffold	na	na	JALY01000088.1	=	NZ_JALY01000088.1	Primary Assembly	2954	na
P-halophila_contig_133	unplaced-scaffold	na	na	JALY01000049.1	=	NZ_JALY01000049.1	Primary Assembly	5985	na
P-halophila_contig_134	unplaced-scaffold	na	na	JALY01000145.1	=	NZ_JALY01000145.1	Primary Assembly	7011	na
P-halophila_contig_135	unplaced-scaffold	na	na	JALY01000147.1	=	NZ_JALY01000147.1	Primary Assembly	22855	na
