# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000086.1	178	1138	+							BUA62_RS11260	961		partial;pseudo;old_locus_tag=SAMN02745164_02286
CDS	without_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000086.1	178	1138	+				hypothetical protein			BUA62_RS11260	961		partial;pseudo
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000080.1	293	1009	+							BUA62_RS11225	717		old_locus_tag=SAMN02745164_02278
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000080.1	293	1009	+	WP_072866118.1	WP_072866118.1		hypothetical protein			BUA62_RS11225	717	238	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000080.1	1015	1731	-							BUA62_RS11230	717		old_locus_tag=SAMN02745164_02279
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000080.1	1015	1731	-	WP_072866119.1	WP_072866119.1		hypothetical protein			BUA62_RS11230	717	238	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000078.1	1	1199	+							BUA62_RS11205	1199		partial;old_locus_tag=SAMN02745164_02274
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000078.1	1	1199	+	WP_200782459.1	WP_200782459.1		hypothetical protein			BUA62_RS11205	1199	398	partial
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000078.1	1174	1629	+							BUA62_RS11210	456		old_locus_tag=SAMN02745164_02275
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000078.1	1174	1629	+	WP_072866116.1	WP_072866116.1		hypothetical protein			BUA62_RS11210	456	151	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000078.1	1736	2098	+							BUA62_RS11215	363		old_locus_tag=SAMN02745164_02276
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000078.1	1736	2098	+	WP_072866117.1	WP_072866117.1		hypothetical protein			BUA62_RS11215	363	120	
gene	rRNA	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000076.1	6	119	-					rrf		BUA62_RS11180	114		
rRNA		GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000076.1	6	119	-				5S ribosomal RNA	rrf		BUA62_RS11180	114		
gene	rRNA	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000076.1	153	3069	-							BUA62_RS11185	2917		old_locus_tag=SAMN02745164_02268
rRNA		GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000076.1	153	3069	-				23S ribosomal RNA			BUA62_RS11185	2917		
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000073.1	498	671	+							BUA62_RS11620	174		old_locus_tag=SAMN02745164_02258
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000073.1	498	671	+	WP_159429531.1	WP_159429531.1		hypothetical protein			BUA62_RS11620	174	57	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000073.1	671	1966	+							BUA62_RS11145	1296		old_locus_tag=SAMN02745164_02259
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000073.1	671	1966	+	WP_072866106.1	WP_072866106.1		radical SAM protein			BUA62_RS11145	1296	431	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000073.1	1963	3297	+							BUA62_RS11150	1335		old_locus_tag=SAMN02745164_02260
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000073.1	1963	3297	+	WP_072866107.1	WP_072866107.1		radical SAM protein			BUA62_RS11150	1335	444	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000073.1	3281	3442	+							BUA62_RS11625	162		old_locus_tag=SAMN02745164_02261
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000073.1	3281	3442	+	WP_159429532.1	WP_159429532.1		hypothetical protein			BUA62_RS11625	162	53	
gene	tRNA	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000072.1	207	281	-							BUA62_RS11120	75		old_locus_tag=SAMN02745164_02252
tRNA		GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000072.1	207	281	-				tRNA-Asn			BUA62_RS11120	75		anticodon=GTT
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000072.1	357	1718	-							BUA62_RS11125	1362		old_locus_tag=SAMN02745164_02253
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000072.1	357	1718	-	WP_072866103.1	WP_072866103.1		N-acetylmuramoyl-L-alanine amidase			BUA62_RS11125	1362	453	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000072.1	1721	2545	-							BUA62_RS11130	825		old_locus_tag=SAMN02745164_02254
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000072.1	1721	2545	-	WP_072866104.1	WP_072866104.1		M23 family metallopeptidase			BUA62_RS11130	825	274	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000072.1	2545	3591	-							BUA62_RS11135	1047		old_locus_tag=SAMN02745164_02255
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000072.1	2545	3591	-	WP_072866105.1	WP_072866105.1		chemotaxis response regulator protein-glutamate methylesterase			BUA62_RS11135	1047	348	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000072.1	3749	3823	-							BUA62_RS11820	75		
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000072.1	3749	3823	-	WP_234970326.1	WP_234970326.1		hypothetical protein			BUA62_RS11820	75	24	
gene	pseudogene	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000071.1	1	320	-							BUA62_RS11090	320		partial;pseudo;old_locus_tag=SAMN02745164_02246
CDS	without_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000071.1	1	320	-				hypothetical protein			BUA62_RS11090	320		partial;pseudo
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000071.1	1004	2296	+							BUA62_RS11095	1293		old_locus_tag=SAMN02745164_02247
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000071.1	1004	2296	+	WP_072866099.1	WP_072866099.1		radical SAM protein			BUA62_RS11095	1293	430	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000071.1	2250	3182	+							BUA62_RS11100	933		old_locus_tag=SAMN02745164_02248
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000071.1	2250	3182	+	WP_072866100.1	WP_072866100.1		ABC transporter ATP-binding protein			BUA62_RS11100	933	310	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000071.1	3189	3929	+							BUA62_RS11105	741		old_locus_tag=SAMN02745164_02249
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000071.1	3189	3929	+	WP_072866101.1	WP_072866101.1		ATP-binding cassette domain-containing protein			BUA62_RS11105	741	246	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000071.1	3934	4863	+							BUA62_RS11110	930		old_locus_tag=SAMN02745164_02250
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000071.1	3934	4863	+	WP_072866102.1	WP_072866102.1		ABC transporter ATP-binding protein			BUA62_RS11110	930	309	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000071.1	4901	5170	+							BUA62_RS11115	270		partial;old_locus_tag=SAMN02745164_02251
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000071.1	4901	5170	+	WP_200782457.1	WP_200782457.1		transposase family protein			BUA62_RS11115	270	90	partial
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	91	1233	-							BUA62_RS10995	1143		old_locus_tag=SAMN02745164_02228
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	91	1233	-	WP_072866088.1	WP_072866088.1		FAD-binding oxidoreductase			BUA62_RS10995	1143	380	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	1223	1501	-							BUA62_RS11000	279		old_locus_tag=SAMN02745164_02229
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	1223	1501	-	WP_072866083.1	WP_072866083.1		(2Fe-2S)-binding protein			BUA62_RS11000	279	92	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	1501	3042	-							BUA62_RS11005	1542		old_locus_tag=SAMN02745164_02230
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	1501	3042	-	WP_072866084.1	WP_072866084.1		FAD-dependent oxidoreductase			BUA62_RS11005	1542	513	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	3029	3343	-							BUA62_RS11010	315		old_locus_tag=SAMN02745164_02231
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	3029	3343	-	WP_072866085.1	WP_072866085.1		(2Fe-2S)-binding protein			BUA62_RS11010	315	104	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	3755	4075	+							BUA62_RS11305	321		old_locus_tag=SAMN02745164_02232
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	3755	4075	+	WP_072866086.1	WP_072866086.1		hypothetical protein			BUA62_RS11305	321	106	
gene	pseudogene	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	4203	4346	+							BUA62_RS11395	144		partial;pseudo
CDS	without_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	4203	4346	+				ATP-binding protein			BUA62_RS11395	144		partial;pseudo
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	4455	5078	-							BUA62_RS11025	624		old_locus_tag=SAMN02745164_02233
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	4455	5078	-	WP_072866087.1	WP_072866087.1		hypothetical protein			BUA62_RS11025	624	207	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	5171	5410	-							BUA62_RS11030	240		partial;old_locus_tag=SAMN02745164_02234
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000068.1	5171	5410	-	WP_143148386.1	WP_143148386.1		transposase			BUA62_RS11030	240	79	partial
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000066.1	287	1447	-							BUA62_RS10945	1161		old_locus_tag=SAMN02745164_02217
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000066.1	287	1447	-	WP_072866076.1	WP_072866076.1		MFS transporter			BUA62_RS10945	1161	386	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000066.1	1567	2772	-							BUA62_RS10950	1206		old_locus_tag=SAMN02745164_02218
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000066.1	1567	2772	-	WP_072866077.1	WP_072866077.1		hypothetical protein			BUA62_RS10950	1206	401	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000066.1	2785	3690	-							BUA62_RS10955	906		old_locus_tag=SAMN02745164_02219
